2016-5-18
- 18: 32+32 cores, 1+50+1, 14 FPS
- 19: 32+32 cores, 1+60+1, 14 FPS
- 20: 32+32 cores, 1+80+1, 14 FPS
- 21: 32+32 cores, 1+100+1, 14 FPS

- 22: 32+32 cores, 1+40+1, 15 FPS
- 23: 32+32 cores, 1+50+1, 15 FPS
- 24: 32+32 cores, 1+60+1, 15 FPS
- 25: 32+32 cores, 1+80+1, 15 FPS
- 26: 32+32 cores, 1+100+1, 15 FPS

- 27: 32+32 cores, 1+40+1, 16 FPS
- 28: 32+32 cores, 1+50+1, 16 FPS
- 29: 32+32 cores, 1+60+1, 16 FPS
- 30: 32+32 cores, 1+80+1, 16 FPS
- 31: 32+32 cores, 1+100+1, 16 FPS

- 32: 8 cores, 1+14+1, 3 FPS
- 33: 8 cores, 1+16+1, 3 FPS
- 34: 8 cores, 1+18+1, 3 FPS
- 35: 8 cores, 1+20+1, 3 FPS

- 36: 8 cores, 1+14+1, 4 FPS
- 37: 8 cores, 1+16+1, 4 FPS
- 38: 8 cores, 1+18+1, 4 FPS
- 39: 8 cores, 1+20+1, 4 FPS

2016-6-09
- 1: 8 cores, 1+30+1, 3 FPS
- 2: 8 cores, 1+40+1, 3 FPS
- 3: 8 cores, 1+60+1, 3 FPS
- 4: 8 cores, 1+80+1, 3 FPS
- 5: 8 cores, 1+100+1, 3 FPS

- 6: 32 cores, 1+27+1, 6 FPS
- 7: 32 cores, 1+28+1, 6 FPS
- 8: 32 cores, 1+29+1, 6 FPS
- 9: 32 cores, 1+30+1, 6 FPS
- 10: 32 cores, 1+31+1, 6 FPS
- 11: 32 cores, 1+32+1, 6 FPS

- 12: 32+32 cores, 1+80+1, 14 FPS, 10min

- 13: 32+32 cores, 1+80+1, 13 FPS
- 14: 32+32 cores, 1+100+1, 13 FPS

- 15: 32 cores, 1+30+1, 5 FPS
- 16: 32 cores, 1+30+1, 7 FPS
- 17: 32 cores, 1+30+1, 8 FPS

2016-6-10
- 1: 32+32 cores, 2+40+2, 12 FPS
- 2: 32+32 cores, 2+50+2, 12 FPS
- 3: 32+32 cores, 2+60+2, 12 FPS
- 4: 32+32 cores, 2+80+2, 12 FPS
- 5: 32+32 cores, 2+100+2, 12 FPS

- 6: 32+32 cores, 2+40+2, 13 FPS
- 7: 32+32 cores, 2+50+2, 13 FPS
- 8: 32+32 cores, 2+60+2, 13 FPS
- 9: 32+32 cores, 2+80+2, 13 FPS
